pessoa_id,nome,cpf,genero,data_nascimento,email,telefone,cidade,uf,cep,opt_in
PES-00001,César Brandão Conceição,22890481786,M,1991-07-08,cesarconceicao278@uol.com.br,11970199913,Guarulhos,SP,07302469,False
PES-00002,Vitória Guimarães,64015948963,F,1984-04-29,vitoria.guimaraes496@outlook.com,11969899938,São Paulo,SP,05401129,False
PES-00003,Ana Assunção,89876074024,F,1969-01-20,anaassuncao870@uol.com.br,21974446788,Rio de Janeiro,RJ,28347042,True
PES-00004,Márcio Nascimento Melo,69154320437,M,1968-04-10,marcio_mel215@gmail.com,31986861128,Belo Horizonte,MG,35344283,False
PES-00005,Leonardo Dias,12501389654,M,1996-05-29,leonardo_dia411@hotmail.com,81969577419,Recife,PE,55020630,True
PES-00006,Márcia Brandão,11674054807,F,1993-10-01,marcia.brandao683@bol.com.br,61974219129,Brasília,DF,73768881,False
PES-00007,André Conceição,49086479502,M,2002-07-24,andre.conceicao199@bol.com.br,51974521955,Porto Alegre,RS,92238102,False
PES-00008,Isabela Ferreira Cardoso Assunção,57755849880,F,1993-05-12,isabela.assuncao69@hotmail.com,71977192464,Salvador,BA,43790088,False
PES-00009,Fernando Andrade Carvalho,10422988588,M,1993-01-17,fernando.carvalho173@yahoo.com.br,11978236932,São Paulo,SP,06717035,True
PES-00010,Aline Carvalho Nunes,88199687894,F,1989-06-12,aline.nunes47@hotmail.com,41961214910,Curitiba,PR,83195862,False
PES-00011,Beatriz Oliveira Silva,59856846285,F,1997-07-13,beatrizsilva377@gmail.com,11969478214,Guarulhos,SP,03862028,True
PES-00012,Daniel Freitas Moreira,83187784135,M,1999-07-28,daniel.moreira609@uol.com.br,48963845082,Florianópolis,SC,81752156,False
PES-00013,Fernando Ribeiro,06215698369,M,1983-11-02,fernando_rib656@yahoo.com.br,31964046315,Belo Horizonte,MG,33753775,True
PES-00014,Letícia Pereira,35037758203,F,1963-06-22,leticia_per131@yahoo.com.br,16965328601,Ribeirão Preto,SP,17783895,False
PES-00015,Lúcia Alves Brandão,37406707541,F,1977-10-07,lucia_bra723@gmail.com,19969235668,Campinas,SP,17734983,False
PES-00016,Raquel Alves Melo,64969780773,F,1982-01-05,raquel.melo185@bol.com.br,32990376318,Juiz de Fora,MG,35288131,False
PES-00017,Ana Assunção Rocha,73082933785,F,1982-01-08,ana.rocha129@gmail.com,32973547413,Juiz de Fora,MG,31965101,True
PES-00018,Daniel Magalhães Machado,49728710240,M,1978-09-30,danielmachado390@hotmail.com,11977887477,São Paulo,SP,09246914,True
PES-00019,Luíza Pereira,95811158629,F,1990-03-12,luizapereira853@hotmail.com,11970425741,São Paulo,SP,04560436,False
PES-00020,Márcio Alves,59992269880,M,1985-09-23,marcio.alves545@bol.com.br,11991681364,São Paulo,SP,08696138,False
PES-00021,Rodrigo Conceição Marques,76973331041,M,1988-10-23,rodrigo_mar836@yahoo.com.br,51998843964,Porto Alegre,RS,94439990,False
PES-00022,Tânia Melo Nunes,89242406252,F,1958-08-21,tania_nun417@hotmail.com,31961725964,Belo Horizonte,MG,37872369,True
PES-00023,Paulo Magalhães Marques,95450960980,M,1984-05-04,paulomarques760@gmail.com,11991636338,São Paulo,SP,08516633,False
PES-00024,Márcia Ferreira Melo,08366644189,F,1985-10-18,marciamelo922@outlook.com,21976945199,Niterói,RJ,24428662,False
PES-00025,Leonardo Melo Brandão,08825458681,M,1996-07-17,leonardobrandao420@gmail.com,19967334090,Campinas,SP,13895535,True
PES-00026,Otávio Gomes Brandão Guimarães,33834961043,M,1995-06-28,otavio_gui420@hotmail.com,11993115191,São Paulo,SP,06939628,True
PES-00027,Sônia Freitas Mendes,17584420184,F,2001-12-28,sonia_men382@outlook.com,11970806733,São Paulo,SP,02828510,False
PES-00028,Raquel Costa,64973781118,F,1979-11-09,raquel.costa378@outlook.com,11990689307,São Paulo,SP,04094542,True
PES-00029,Camila Barbosa,26418131908,F,1995-02-28,camila.barbosa14@hotmail.com,11976012485,Santo André,SP,07870036,True
PES-00030,Luís Freitas Araújo,61692856308,M,1980-07-15,luis.araujo358@uol.com.br,51997802924,Porto Alegre,RS,91291997,False
PES-00031,Leonardo Peixoto Machado,63519867370,M,1985-02-02,leonardomachado723@hotmail.com,31987746390,Belo Horizonte,MG,32190007,True
PES-00032,Joana Melo Silva Gomes,76381430001,F,2000-10-23,joana_gom59@uol.com.br,71961937176,Salvador,BA,44808125,False
PES-00033,Débora Ribeiro Santos,18501277860,F,1990-08-08,deborasantos367@outlook.com,21988218760,Rio de Janeiro,RJ,24404354,False
PES-00034,Eduardo Carvalho,57229742854,M,1999-08-20,eduardocarvalho382@hotmail.com,61984023749,Brasília,DF,78168556,True
PES-00035,Paulo Andrade Gomes Oliveira,55031888458,M,1991-08-26,paulo_oli594@outlook.com,21994609556,Rio de Janeiro,RJ,27812865,True
PES-00036,Caio Peixoto Melo,93407301197,M,1988-02-22,caio.melo571@yahoo.com.br,61980956823,Brasília,DF,78225004,False
PES-00037,Natália Dias Alves,18851858713,F,1986-11-05,natalia_alv372@uol.com.br,21981664677,Niterói,RJ,26458571,True
PES-00038,Camila Alves Brandão,53614449955,F,1988-01-31,camila.brandao974@yahoo.com.br,11983437708,São Paulo,SP,07756498,True
PES-00039,Henrique Costa Lima,05144662510,M,1987-11-16,henrique.lima284@bol.com.br,71962098717,Salvador,BA,47601530,True
PES-00040,Isabela Mendes Lima,47842859388,F,1933-12-31,isabela.lima446@gmail.com,19998844940,Campinas,SP,15279180,True
PES-00041,Fábio Nunes,91708309918,M,1973-10-29,fabio.nunes868@gmail.com,81979666116,Recife,PE,59975046,True
PES-00042,Márcio Carvalho Nunes,84224394928,M,1997-04-17,marcionunes406@uol.com.br,61974982956,Brasília,DF,77629615,True
PES-00043,Daniel Melo Moreira,52525243510,M,1998-06-04,daniel_mor311@yahoo.com.br,48991302678,Florianópolis,SC,86927593,True
PES-00044,André Moreira,37571271029,M,1996-09-14,otavioguimaraes673@uol.com.br,21968012700,Niterói,RJ,28115053,True
PES-00045,Bruno Gomes Ribeiro,90307510700,M,1993-06-14,bruno.ribeiro507@gmail.com,11968929341,Guarulhos,SP,04482266,False
PES-00046,Leonardo Guimarães,38290116608,M,1959-05-08,leonardo_gui902@outlook.com,11973415709,São Paulo,SP,07049264,True
PES-00047,Vitória Marques Assunção,96652018322,F,1983-12-09,vitoria.assuncao805@uol.com.br,51998338078,Porto Alegre,RS,99799276,True
PES-00048,Hélio Carvalho Martins,57481276528,M,1957-03-22,helio_mar317@uol.com.br,11971218812,São Paulo,SP,07363687,True
PES-00049,Tânia Moreira Araújo,39216134690,F,1998-08-23,tania_ara873@yahoo.com.br,62964712890,Goiânia,GO,75396695,True
PES-00050,Joana Ferreira Moreira,52707573892,F,1990-11-25,joanamoreira924@hotmail.com,11980539158,São Paulo,SP,03608539,False
PES-00051,Márcia Marques Dias,65028654379,F,1976-06-24,marciadias258@outlook.com,81984911606,Recife,PE,56801538,True
PES-00052,Luís Andrade,80635620545,M,1965-03-25,luisandrade128@gmail.com,71992039132,Salvador,BA,49713084,False
PES-00053,Gabriela Nunes Alves,32739479930,F,1967-01-22,gabriela.alves619@bol.com.br,31978604546,Belo Horizonte,MG,31103239,True
PES-00054,Joana Dias Silva Nunes,19054551356,F,1952-10-26,joananunes803@outlook.com,11982475191,São Paulo,SP,05223446,True
PES-00055,Letícia Pereira Mendes,82895774862,F,1988-05-04,leticiamendes826@yahoo.com.br,41982847468,Curitiba,PR,83562116,False
PES-00056,Cláudia Nunes Andrade,91009464000,F,2003-09-14,claudia.andrade548@uol.com.br,62967415772,Goiânia,GO,79304008,False
PES-00057,Larissa Oliveira Assunção,48762227890,F,1986-07-31,larissa.assuncao256@gmail.com,11974327749,São Paulo,SP,07561525,False
PES-00058,Luíza Lima Peixoto,07702825553,F,1986-07-05,luiza_pei453@gmail.com,16963827439,Ribeirão Preto,SP,16650747,False
PES-00059,Patrícia Alves Guimarães,83597067271,F,1996-02-22,patriciaguimaraes879@uol.com.br,21983915890,Rio de Janeiro,RJ,21967457,True
PES-00060,Priscila Brandão Brandão,74681409529,F,1983-07-29,priscila.brandao340@bol.com.br,32964036484,Juiz de Fora,MG,38112303,True
PES-00061,Raquel Moreira Barbosa Barbosa,17284066920,F,1965-04-02,raquelbarbosa477@uol.com.br,21979678164,Rio de Janeiro,RJ,28497674,False
PES-00062,Isabela Silva Oliveira Oliveira,21702894886,F,1993-07-06,isabelaoliveira1@hotmail.com,11975509004,São Paulo,SP,06650948,False
PES-00063,Hélio Assunção Martins,37616379265,M,1980-06-29,heliomartins791@hotmail.com,11975019993,São Paulo,SP,03727533,True
PES-00064,Fábio Martins Moreira,00905430174,M,1999-06-16,fabiomoreira829@yahoo.com.br,41987691417,Curitiba,PR,81450435,False
PES-00065,Renata Carvalho Marques,74783802718,F,1999-09-11,renatamarques774@gmail.com,62967044718,Goiânia,GO,76993408,False
PES-00066,Letícia Machado Martins,92329144504,F,1996-08-03,leticia.martins121@outlook.com,21995416571,Rio de Janeiro,RJ,26852386,False
PES-00067,Ana Assunção Lima,73863772237,F,1985-05-31,analima201@uol.com.br,31962449362,Belo Horizonte,MG,36305781,False
PES-00068,Caio Pereira Melo,87141733280,M,1974-03-12,caio.melo226@bol.com.br,11986038988,São Paulo,SP,04415337,True
PES-00069,Larissa Rocha Silva,69316336600,F,1991-04-29,larissasilva18@gmail.com,31979948559,Belo Horizonte,MG,36709066,True
PES-00070,Lucas Lima,82344112332,M,1974-12-21,lucaslima985@outlook.com,11974507942,São Paulo,SP,08395391,False
PES-00071,Simone Gomes Silva,92879779685,F,1977-04-12,simone_sil623@gmail.com,21997049755,Niterói,RJ,24992131,False
PES-00072,Isabela Moreira Pereira,42467715035,F,1974-06-11,isabela.pereira799@yahoo.com.br,11992681788,São Paulo,SP,08460444,False
PES-00073,Fernando Cardoso Costa,25631381320,M,1933-12-31,fernandocosta462@bol.com.br,31978027132,Belo Horizonte,MG,31832668,True
PES-00074,Luís Oliveira Marques,87754534525,M,1961-10-07,luis.marques305@hotmail.com,21999524487,Rio de Janeiro,RJ,28480536,False
PES-00075,Lúcia Melo,15394195501,F,1951-11-10,luciamelo147@bol.com.br,11982139224,São Paulo,SP,01916124,False
PES-00076,Patrícia Silva Nunes,26485042652,F,1949-11-26,patricianunes69@outlook.com,41979784769,Curitiba,PR,85716013,False
PES-00077,Fernando Brandão Carvalho,12140750969,M,1933-12-31,fernando.carvalho531@yahoo.com.br,11972397524,Santo André,SP,09459504,False
PES-00078,Joana Pereira,83543839624,F,1965-08-21,joana_per191@bol.com.br,81960111080,Recife,PE,54294146,False
PES-00079,Rafael Oliveira Pereira,65401895402,M,1955-04-18,rafael.pereira81@bol.com.br,31969466878,Belo Horizonte,MG,34040852,False
PES-00080,Letícia Andrade,84482658235,F,1941-04-12,leticiaandrade322@bol.com.br,21960972255,Rio de Janeiro,RJ,26624030,True
PES-00081,Rodrigo Magalhães Lima,53677821592,M,1981-11-23,rodrigo.lima561@bol.com.br,21985129474,Rio de Janeiro,RJ,21600802,False
PES-00082,Ana Carvalho,35700220806,F,1994-06-30,anacarvalho558@yahoo.com.br,11968901915,Guarulhos,SP,04413641,True
PES-00083,Márcia Carvalho Rodrigues,22373167409,F,1969-10-19,marcia_rod513@outlook.com,19978332982,Campinas,SP,17781020,True
PES-00084,Fernando Dias,23370364727,M,1988-07-07,fernando.dias640@gmail.com,11993526210,São Paulo,SP,05849846,True
PES-00085,Hélio Rocha Freitas,23737400954,M,1994-01-18,heliofreitas434@yahoo.com.br,32980693449,Juiz de Fora,MG,37253257,True
PES-00086,Natália Machado,06225634088,F,1980-10-06,natalia_mac187@gmail.com,61976717225,Brasília,DF,77325801,True
PES-00087,Aline Magalhães Nunes,64580082877,F,2003-05-05,aline.nunes517@gmail.com,19970674747,Campinas,SP,18318932,False
PES-00088,Fernanda Oliveira Conceição,20353464287,F,1970-07-16,fernanda_con360@outlook.com,11965015090,São Paulo,SP,01514557,True
PES-00089,Márcia Marques Costa,73857669438,F,1993-05-05,marcia_cos666@outlook.com,11979713150,São Paulo,SP,06306061,True
PES-00090,Rodrigo Carvalho Costa,07153685910,M,1987-07-23,rodrigo_cos233@hotmail.com,71961277813,Salvador,BA,42785286,True
PES-00091,Gabriela Alves,81338379364,F,1994-09-04,gabriela.alves619@gmail.com,31974064662,Belo Horizonte,MG,31493479,True
PES-00092,Antônio Souza Magalhães,01602339171,M,1992-01-30,antonio.magalhaes206@gmail.com,11995203655,Guarulhos,SP,02287464,False
PES-00093,Gabriela Nunes Dias,39231095803,F,1963-01-17,gabriela_dia490@gmail.com,11971223801,São Paulo,SP,05567215,False
PES-00094,Júlia Conceição Freitas,09570932848,F,2003-12-31,juliafreitas506@outlook.com,51985947476,Porto Alegre,RS,92889883,False
PES-00095,Marcelo Rodrigues Melo,73284724729,M,1982-01-08,marcelo_mel779@yahoo.com.br,51989793980,Porto Alegre,RS,93294525,True
PES-00096,Hélio Rodrigues Rodrigues,04570855334,M,1978-12-10,helio.rodrigues486@bol.com.br,51964333430,Porto Alegre,RS,94005886,True
PES-00097,Patrícia Ribeiro,64856263102,F,1962-01-22,patricia_rib758@outlook.com,41999976012,Curitiba,PR,81781105,False
PES-00098,Cecília Lima Araújo,83940850756,F,1992-07-14,cecilia.araujo602@hotmail.com,31975524892,Belo Horizonte,MG,39838597,True
PES-00099,Wagner Barbosa Machado,74582062253,M,1955-07-13,wagnermachado944@uol.com.br,11961483200,São Paulo,SP,08915202,True
PES-00100,César Andrade Dias,71439116156,M,1985-04-19,cesar_dia585@outlook.com,71979871150,Salvador,BA,48205261,False
PES-00101,Fernando Cardoso Andrade,43422517367,M,1967-10-07,fernando_and695@uol.com.br,11986041983,São Paulo,SP,04772375,True
PES-00102,Cláudia Brandão Nascimento Mendes,53318708216,F,1972-03-03,claudia_men944@yahoo.com.br,48960956555,Florianópolis,SC,83121367,False
PES-00103,Helena Dias,24947454547,F,2000-01-23,helena_dia336@hotmail.com,21963706386,Rio de Janeiro,RJ,29107376,True
PES-00104,Gustavo Nascimento Rodrigues,82601968320,M,1990-08-08,gustavorodrigues479@yahoo.com.br,31970491945,Belo Horizonte,MG,33816747,True
PES-00105,Letícia Pereira Andrade,79839854364,F,1998-08-02,leticia_and323@hotmail.com,11994056356,São Paulo,SP,07615559,False
PES-00106,Cecília Guimarães,51661011110,F,1983-08-14,cecilia_gui420@uol.com.br,11960786458,Santo André,SP,07070845,True
PES-00107,Daniel Nunes Martins,22552529020,M,1990-10-09,daniel.martins336@outlook.com,19964237531,Campinas,SP,18892178,True
PES-00108,Fernanda Silva Nunes,74776114585,F,1992-10-16,fernanda.nunes503@uol.com.br,11999023165,São Paulo,SP,05211308,False
