COD_CLIENTE;NOME_CLIENTE;CPF;DT_NASC;SEXO;EMAIL;FONE;ENDERECO;BAIRRO;CIDADE;UF;CEP;ACEITA_MKT;DT_ATUALIZACAO
100001;SERGIO CARDOSO MAGALHAES ASSUNCAO;18337416254;29/11/1978;M;sergio_ass932@uol.com.br;(11) 98583-3779;Rua das Palmeiras, 2620;SANTO ANTÔNIO;São Paulo - SP;São Paulo;06596-219;N;21/02/2020
100002;CLÁUDIA  RODRIGUES MOREIRA ;732.918.416-03;29/06/1968;F;claudia.moreira643@yahoo.com.br;21 989046437;R Paulista, nº 2528;CENTRO;Rio de Janeiro;Rio de Janeiro;27575-362;S;02/01/2019
100003;RAQUEL  SANTOS ;03159068390;06/04/1971;F;raquel_san916@uol.com.br;19 980028759;Rua Dom Pedro II, N. 551;VILA MARIANA;Campinas - SP;São Paulo;15671430;S;30/06/2022
100004;OTAVIO ANDRADE;101.226.462-90;21/03/1979;M;otavioandrade643@yahoo.com.br;96463-9071;Pç. Rio Branco, N. 333;PARQUE INDUSTRIAL;Belo Horizonte;MG;36148375;S;05/02/2025
100005;DR. RENATA MARTINS;64838196334;03/03/1990;F;renatamartins883@outlook.com;62107231;Avenida Santos Dumont, nº 816;SANTA CECÍLIA;Salvador;BA;41718766;N;02/08/2024
100006;EDUARDO ARAÚJO;7,08218E+10;18/02/1982;M;eduardo.araujo283@yahoo.com.br;(16) 97038-5438;Rua das Palmeiras, nº 2483;CENTRO;Ribeirão Preto;SP;15774-979;S;20/02/2024
100007;MARIANA ARAÚJO PEREIRA;05683477301;13/03/1986;F;mariana.pereira986@uol.com.br;51 990779636;Rua das Flores, nº 1136;CENTRO;PORTO ALEGRE;rs;96753284;N;01/01/2025
100008;LUCIA  LIMA ;703.126.140-63;19/08/1994;F;lucia.lima941@bol.com.br;21973449162;RUA PRESIDENTE VARGAS, N. 2924;VILA MARIANA;Niterói;RJ;23239960;S;21/08/2020
100009;FERNANDA COSTA CONCEICAO;78803091874;12/01/2007;F;fernandaconceicao923@uol.com.br;19 994351159;R. XV DE NOVEMBRO, N. 2554 - APTO 31;SÃO JOSÉ;Campinas;;18863795;S;03/07/2024
100010;JOAO DIAS RODRIGUES;524.412.950-39;21/07/1981;M;joao.rodrigues2846@bol.com.br;11 979836681;TRAV. MARECHAL DEODORO, Nº S/N;BOA VISTA;Guarulhos;São Paulo;04696-147;S;11/04/2023
100011;TÂNIA GOMES ASSUNÇÃO;959.706.846-00;29/01/1982;F; TANIAASSUNCAO846@GMAIL.COM ;21966352286;Av dos Andradas, nº 199;BELA VISTA;rio de janeiro ;RJ;29431-210;N;17/07/2019
100012;CLAUDIA RIBEIRO ALVES OLIVEIRA;64191202928;27/10/1983;F;claudia.oliveira491@gmail.com;(11) 99180-8544;Av Rio Branco, nº 1021;VILA MARIANA;São Paulo;São Paulo;2663448;N;03/11/2023
100013;RAQUEL MOREIRA;51480386677;26/01/1991;F;raquel_mor433@gmail.com;(21) 98053-5868;Rua Presidente Vargas, N. 2685 - Fundos;SANTA CECÍLIA;niterói ;RJ;29106906;S;23/01/2025
100014;RAFAEL OLIVEIRA PEREIRA;654.018.954-02;18/04/1955;M;;31 969466878;RUA SETE DE SETEMBRO, 1486;SANTA CECÍLIA;Belo Horizonte - MG;;34040-852;N;03/02/2020
100015;SÔNIA B. OLIVEIRA;66254282305;30/08/1995;F;sonia_oli382@outlook.com;11986265045;R. Dom Pedro II, nº 1790 - Fundos;JARDIM DAS FLORES;Guarulhos;SP;03825-147;S;18/06/2021
100016;DEBORA NUNES PEREIRA;16207066103;16/04/1974;;debora_per850@bol.com.br;(11) 96141-5798;Avenida Presidente Vargas, nº 2611;CENTRO;São Paulo - SP;SP;09392-120;;10/11/2019
100017;FERNANDA PEIXOTO;48864708405;03/10/1984;F;fernanda.peixoto20@outlook.com;21 981973793;R. DAS PALMEIRAS, N. 457 - CASA 2;BELA VISTA;Niterói;RJ;25480681;N;06/07/2022
100018;LÚCIA BARBOSA MOREIRA;450.952.394-77;08/06/2000;F;lucia_mor449@outlook.com;(41) 96500-9176;RUA MARECHAL DEODORO, S/N;SANTO ANTÔNIO;Curitiba;pr;88016967;N;01/08/2020
100019;HELIO CARVALHO BARBOSA COSTA;40816949239;17/03/1987;M;heliocosta89917@uol.com.br;(11) 99869-1682;Avenida das Palmeiras, 1575;SÃO JOSÉ;Guarulhos;SP;9683857;S;15/07/2021
100020;FERNANDO OLIVEIRA;09489143782;15/04/1981;I;;(11) 99531-6820;RUA SÃO JOÃO, 478;CENTRO;São Paulo - SP;sp;03817230;S;04/06/2020
100021;ISABELA ASSUNCAO;37495940743;27/08/1963;F;isabela_ass649@gmail.com;19974647718;R RIO BRANCO, N. 2245 - CASA 2;JARDIM AMÉRICA;Campinas;SP;16481420;N;18/07/2023
100022;JOSE ALVES CONCEICAO;487.916.094-61;01/10/1996;M;joseconceicao205@yahoo.com.bt;19971018492;Rua Tiradentes, N. 1921 - Casa 2;JARDIM AMÉRICA;Campinas - SP;SP;14966-183;N;13/08/2019
100023;BRUNO FREITAS;583.457.900-03;26/06/1970;M;brunofreitas42965@hotmail.com;(11) 97763-1647;R. Dom Pedro II, N. 2584 - Casa 2;JARDIM AMÉRICA;São Paulo - SP;SP;5188447;S;25/12/2020
100024;DANIEL CARVALHO;85659034438;14/01/1951;M;danielcarvalho695@hotmail.com;(21) 99266-6847;Rua São João, nº 720;SANTO ANTÔNIO;Niterói;Rio de Janeiro;25317679;S;18/03/2020
100025;SIMONE FREITAS;28493516600;16/12/1986;F;simonefreitas19@outlook.com;97454-7185;RUA DOM PEDRO II, Nº 156;PARQUE INDUSTRIAL;Brasília;DF;73437-372;N;12/09/2024
100026;TANIA  S. RODRIGUES ;62274993823;16/05/1964;F;taniarodrigues254@yahoo.com.br;99655-3808;Avenida da Liberdade, N. 1575;SANTO ANTÔNIO;SP;São Paulo;03396912;S;12/04/2025
100027;DR. CAMILA FERREIRA SILVA;80705620484;23/02/1996;F;camila_sil435@bol.con.br;(11) 7558-4426;RUA PRESIDENTE VARGAS, 166;BOA VISTA;SAO PAULO;SP;3013468;S;13/10/2019
100028;NATALIA MARTINS;92581407379;10/05/1968;I;natalia_mar517@yahoo.com.br;4180214005;RUA PAULISTA, N. 1371;VILA MARIANA;Curitiba;PR;86516-172;S;29/11/2025
100029;FABIO SILVA;596.870.529-96;24/11/1970;M;fabio_sil86@yahoo.com.br;(11) 97557-8252;RUA SETE DE SETEMBRO, Nº 1242;PARQUE INDUSTRIAL;São Paulo;SP;08541493;N;13/09/2019
100030;LUCIA MENDES GUIMARAES;26183019518;22/04/1973;;luciaguimaraes246@uol.com.br;;Rua dos Andradas, nº 225 - Casa 2;BOA VISTA;Campinas;SP;19096-325;S;14/09/2022
100031;SÔNIA BRANDÃO CARVALHO;31768059596;10/12/1999;F;sonia.carvalho168@outlook.com;(11) 97056-9163;Av Presidente Vargas, N. 450;JARDIM DAS FLORES;São Paulo;São Paulo;7718912;N;09/08/2020
100032;BEATRIZ PEREIRA;632.103.881-48;29/05/2001;F;;11 965001832;AV Dom Pedro II, 2120;BOA VISTA;São Paulo;sp;05380-293;S;10/01/2020
100033;MARIANA COSTA CARDOSO;26608618204;06/08/1989;F;marianacardoso741@gmail.com;11972932594;Avenida das Flores, 2138;BOA VISTA;SANTO ANDRE;SP;05148-916;N;18/11/2024
100034;MARCIA GOMES OLIVEIRA;26526880657;22/06/1982;F;marciaoliveira332@uol.com.br;61 96301172;R DAS PALMEIRAS, Nº 565;BOA VISTA;Brasília;Distrito Federal;75187-639;N;06/06/2025
100035;GUSTAVO CARVALHO ROCHA MACHADO;91572443324;25/10/2002;M;gustavomachado260@outlook.com;5163643529;R SANTOS DUMONT, 1546 - CASA 2;JARDIM AMÉRICA;Porto Alegre;rs;93673380;S;03/04/2022
100036;JULIA NUNES;52006628186;10/03/2000;F;julianunes940@gmail.com;(19) 99778-9395;R Marechal Deodoro, nº 978;VILA NOVA;Campinas;São Paulo;18813-009;N;26/02/2019
100037;BEATRIZ SOUZA CARDOSO;494.473.125-60;22/07/1957;F;beatriz.cardoso991@outlook.com;1163885971;AVENIDA DAS PALMEIRAS, N. 2452;SÃO JOSÉ;São Paulo;sp;09797-324;N;05/05/2023
100038;FERNANDO GOMES ROCHA;23040486500;23/06/1978;M;fernando.rocha355@hotmial.com;41 66098714;AV. DAS PALMEIRAS, 2250 - FUNDOS;LIBERDADE;Curitiba - PR;PR;82400-521;S;02/11/2024
100039;MÁRCIA MENDES GOMES;47503443030;18/04/1944;F;marciagomes88026@bol.com.br;21 969649012;R SÃO JOÃO, 886;SANTA CECÍLIA;Niterói;RJ;22616681;;10/08/2020
100040;LUCAS GOMES MOREIRA;581.364.746-56;10/03/1981;M;lucasmoreira802@hotmail.com;31 966021090;RUA TIRADENTES, N. 412;VILA NOVA;Belo Horizonte;mg;35917509;N;14/08/2025
100041;FABIO ROCHA MOREIRA SOUZA;687.561.240-23;06/12/1962;M;fabio.souza398@uol.com.br;31 990024693;Avenida Dom Pedro II, 1782;SANTA CECÍLIA;Belo Horizonte - MG;Minas Gerais;34496-407;S;20/12/2024
100042;CAMILA  RIBEIRO CARDOSO ;394.876.129-98;10/05/1981;F;camilacardoso146@gmail.com;(41) 98094-3664;RUA TIRADENTES, 142 - APTO 31;JARDIM DAS FLORES;Curitiba;PR;85590-883;S;08/07/2021
100043;LUCIA COSTA PEIXOTO;35830206420;22/05/1991;F;luciapeixoto707@bol.com.br;97256-8534;TRAVESSA SANTOS DUMONT, N. 575;VILA NOVA;SAO PAULO;SP;04481540;;09/03/2025
100044;RAFAEL MARTINS DIAS;832.970.743-10;05/08/1992;M;rafael.dias854@bol.com.br;;Rua das Flores, 2049 - Apto 12;SANTA CECÍLIA;Rio de Janeiro;RJ;22302-254;S;16/08/2024
100045;LETICIA MARTINS;46226721200;09/04/1979;F;leticia_mar575@hotmail.com;(11) 9964-8083;RUA SETE DE SETEMBRO, 2153;SANTO ANTÔNIO;São Paulo;SP;07072-691;;26/05/2025
100046;CECILIA BARBOSA COSTA MAGALHAES;941.714.091-44;13/09/1995;F;cecilia.magalhaes51418@bol.com.br;11989137149;R. TIRADENTES, N. 1332;VILA NOVA;São Paulo;SP;03979-624;S;28/09/2022
100047;FERNANDA PEIXOTO;278.468.908-59;07/01/1974;F;fernandapeixoto696@gmai.com;98894-5159;RUA Sete de Setembro, 1563 - Apto 12;VILA NOVA;Recife;PE;52489-988;S;06/05/2025
100048;OTAVIO  PEREIRA ;662.963.712-76;23/01/1987;M;otaviopereira303@hotmail.com;(41) 98517-5502;Av Presidente Vargas, nº 316;SANTA CECÍLIA;Curitiba;;88894-635;N;20/11/2019
100049;DR. GUSTAVO NASCIMENTO RODRIGUES;82601968320;08/08/1990;M;gustavorodrigues479@yahoo.com.br;97049-1945;RUA DA LIBERDADE, Nº S/N;SANTA CECÍLIA;Belo Horizonte;MG;33816747;S;14/09/2021
100050;LEONARDO ALVES MARQUES;09030841478;13/02/1995;M;leonardo.marques741@outlook.com;1181625109;Alameda Sete de Setembro, 667;VILA NOVA;São Paulo - SP;sp;01610098;S;11/08/2021
100051;LUCAS NUNES MENDES;98613185347;11/11/1989;M;lucasmendes331@bol.com.br;21 980407690;R. XV DE NOVEMBRO, Nº 992 - CASA 2;VILA MARIANA;Rio de Janeiro;Rio de Janeiro;24309432;S;19/06/2024
100052;SRA. ANDRÉ MENDES;250.545.737-98;27/08/1973;M;andremendes270@gmai.com;11993036023;R. SÃO JOÃO, N. 2075;LIBERDADE;São Paulo;SP;05285-265;S;20/11/2025
100053;EDUARDO MELO SOUZA;207.794.424-23;28/05/1969;M;eduardosouza826@gmail.com;11 986253752;R. BRASIL, N. 1073;PARQUE INDUSTRIAL;Guarulhos;SP;02822-250;S;05/02/2021
100054;LETICIA RIBEIRO FREITAS;375.884.686-29;16/10/1996;F;;(21) 8234-4850;R. Presidente Vargas, nº 1095;SANTO ANTÔNIO;Rio de Janeiro;rj;27522-101;N;11/01/2021
100055;FÁBIO FERREIRA;20142289221;11/12/1966;M; FABIOFERREIRA771@BOL.COM.BR ;11972126717;RUA XV DE NOVEMBRO, 1263 - FUNDOS;CENTRO;SAO PAULO;SP;01575-147;S;13/09/2025
100056;RODRIGO  PERIERA RIBEIRO ;645.867.815-05;03/07/1984;M;rodrigoribeiro944@hotmail.com;1181361816;RUA PAULISTA, 316 - APTO 31;BELA VISTA;São Paulo;sp;08820286;S;24/10/2019
100057;LUCIA LIMA;570.495.882-61;20/05/1991;F;lucia_lim560@uol.com.br;(48) 97659-3879;RUA SÃO JOÃO, Nº 1033;VILA NOVA;florianópolis ;SC;85994-044;S;01/08/2019
100058;PRISCILA FERREIRA MACHADO;805.472.357-12;13/05/1992;F;priscilamachado893@uol.com.br;21 63687321;Rua das Palmeiras, N. 823;CENTRO;NITEROI;rj;28944642;N;05/01/2024
100059;LEONARDO MARTINS OLIVEIRA;653.677.847-20;22/04/1997;M; LEONARDO.OLIVEIRA515@OUTLOOK.COM ;21972993609;Avenida dos Andradas, N. 178 - Apto 31;VILA MARIANA;Rio de Janeiro;Rio de Janeiro;22730-581;S;15/10/2020
100060;MÁRCIA OSUZA;55807891147;20/01/1980;F;marcia_sou547@bol.com.br;48 974794101;AVENIDA SÃO JOÃO, Nº 400;JARDIM AMÉRICA;Florianópolis;Santa Catarina;87423220;S;16/06/2021
100061;BRUNO FREITAS CONCEIÇÃO;5951974429;23/08/1995;M;brunoconceicao455@outlook.com;(11) 97939-5743;AVENIDA DOM PEDRO II, 2086;VILA MARIANA;São Paulo;sp;02306-092;;22/07/2021
100062;SIMONE FREITAS;46991674702;13/11/1988;F;simone.freitas320@yahoo.com.br;(11) 9449-5520;Rua Paulista, N. 729;VILA NOVA;São Paulo;São Paulo;07275-662;S;20/11/2024
100063;PATRICIA MAGALHAES BRANDAO;077.788.965-08;03/02/1982;F;patricia.brandao930@yahoo.com.br;51967541375;RUA XV de Novembro, 2384;SANTO ANTÔNIO;Porto Alegre;rs;95421433;N;17/12/2025
100064;RODRIGO RIBEIRO DIAS;236.209.953-97;24/08/1992;M;rodrigo_dia829@bol.com.br;;R Presidente Vargas, nº 1702 - Casa 2;LIBERDADE;Porto Alegre;;93050107;S;01/11/2020
100065;LARISSA  BRANDAO PEREIRA ;568.255.029-30;04/10/1978;F;larissa_per90627@yahoo.com.br;21 969804818;Av. São João, N. 1298 - Fundos;BELA VISTA;rio de janeiro ;rj;29676-426;S;03/10/2021
100066;LEONARDO  A. SILVA ;81571355324;22/02/1988;M;leonardo_sil949@hotmail.com;31 70944591;AV Tiradentes, nº 1893;PARQUE INDUSTRIAL;Belo Horizonte;mg;37025980;;06/01/2021
100067;ALINE MAGALHAES SANTOS FREITAS;6,81630E+10;22/12/1980;F;aline_fre192@bol.com.br;21984377334;RUA PAULISTA, N. 2734 - CASA 2;BOA VISTA;Niterói - RJ;rj;27991-679;S;18/01/2025
100068;DEBORA FREITAS COSTA;73933796946;01/12/1981;F;debora_cos105@outlook.com;48 984095154;Avenida dos Ipês, N. 1471;VILA MARIANA;Florianópolis;sc;82089-677;;31/12/2022
100069;CLÁUDIA ALVES;603.736.268-86;15/10/1989;F;claudia_alv891@bol.com.br;71965732396;RUA PRESIDENTE VARGAS, N. 1960 - APTO 31;SANTO ANTÔNIO;Salvador;Bahia;42520-227;S;03/12/2025
100070;SONIA SOUZA;39187963965;02/07/1995;F;soniasouza268@yahoo.com.br;51985594509;Rua da Liberdade, nº 2579 - Apto 12;SANTA CECÍLIA;Porto Alegre;RS;96588200;;27/03/2025
100071;VITÓRIA ROCHA ANDRADE;561.527.943-58;10/09/1978;F;vitoriaandrade943@outlook.com;11981858884;TRAV. XV DE NOVEMBRO, 1713;BELA VISTA;São Paulo;SP;9904925;S;14/09/2020
100072;DRA. CECILIA NASCIMENTO MACHADO;11057734500;12/10/1992;F;marcelomoreira246@bol.com.br;19 69439139;AL GETÚLIO VARGAS, N. 136;LIBERDADE;Campinas - SP;sp;15325-475;S;27/10/2023
100073;LÚCIA ROCHA;10978812883;15/12/1952;F;lucia.rocha208@uol.com.br;(21) 97460-9986;PÇ. MARECHAL DEODORO, N. 1859;SANTA CECÍLIA;Rio de Janeiro;rj;25054-632;S;11/02/2022
100074;FERNANDO GUIMARAES SOUZA;44243526842;24/10/1986;M;fernando_sou802@outlook.com;81 985678580;Rua Presidente Vargas, 1919;SANTA CECÍLIA;Recife;PE;58002-132;S;10/06/2019
100075;EDUARDO GOMES OLIVEIRA FREITAS;12586547179;28/04/1970;;;11 971729878;Rua dos Ipês, N. 170;LIBERDADE;Guarulhos;sp;04160762;S;08/09/2023
100076;LETÍCIA FREITAS GUIMARÃES;34914803968;12/01/1979;F;leticiaguimaraes61430@uol.com.br;11 60801945;Rua Dom Pedro II, nº S/N - Bloco B Apto 104;CENTRO;são paulo ;sp;03305-110;S;03/01/2019
100077;MATEUS CARDOSO SANTOS;640.396.891-27;02/03/1998;M;mateus_san109@bol.con.br;98394-4120;R DOS ANDRADAS, Nº 1719;LIBERDADE;Belo Horizonte - MG;Minas Gerais;32353-417;S;28/04/2025
